subquestion_index,dimension,field,gt_atom_index,gt_source,best_model_atom_index,best_score,matched
1,D1,outcomes,1,,1,1.000000,True
1,D3,arguments,1,,1,0.110238,False
1,D4,required_precondition_coverage,1,global_assumption,1,0.000000,False
1,D4,required_precondition_coverage,2,local_assumption,1,1.000000,True
1,D4,required_precondition_coverage,3,gt_precondition,1,0.286344,False
1,D4,required_precondition_coverage,4,gt_precondition,1,1.000000,True
2,D1,outcomes,1,,1,1.000000,True
2,D3,arguments,1,,1,1.000000,True
2,D4,required_precondition_coverage,1,global_assumption,6,1.000000,True
2,D4,required_precondition_coverage,2,local_assumption,1,1.000000,True
2,D4,required_precondition_coverage,3,previous_outcome,1,0.301937,False
2,D4,required_precondition_coverage,4,gt_precondition,5,0.500000,False
2,D4,required_precondition_coverage,5,gt_precondition,1,1.000000,True
