subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D1,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.318729,0.318729,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.434061,0.000000,False,True,unrelated,0.000000,"The model statement describes a Gaussian process, while the ground-truth statement is about covariance between two random variables.",90010c96c4d274369bf6acf4e8dffbb182ecc3f1c203e88fe639ce1c2de4ad00,False,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.211784,0.211784,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",La variabilité du mouvement brownien est constante
1,D1,outcomes,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.165985,0.165985,False,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)",La variance du mouvement gaussien peut varier en fonction de l'argument
1,D1,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.163163,0.163163,False,False,,,,,,,Le processus est donc gaussien centré.,Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.366298,0.000000,False,True,unrelated,0.000000,"The model statement describes a specific formula, while the ground-truth statement makes a general assertion about the process being Gaussian centered.",b569f2c65a6d0489c8946b9bfb1edf431b5b18ea08e47f2a81b0f5bd63cb127a,False,,Le processus est donc gaussien centré.,Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.292961,0.292961,False,False,,,,,,,Le processus est donc gaussien centré.,La variabilité du mouvement brownien est constante
1,D1,outcomes,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.445072,0.000000,False,True,unrelated,0.000000,"Model statement discusses variance, while ground-truth statement describes a centered process.",4094221c5bd0aafc595f76722407605371b3459b84f1e320acd92e643bf35412,False,,Le processus est donc gaussien centré.,La variance du mouvement gaussien peut varier en fonction de l'argument
1,D1,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.048126,0.048126,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.181778,0.181778,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.267525,0.267525,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",La variabilité du mouvement brownien est constante
1,D1,outcomes,3,4,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[4],gt_atom,0.284948,0.284948,False,False,,,,,,,"les accroissements disjoints sont non corrélés, donc indépendants",La variance du mouvement gaussien peut varier en fonction de l'argument
1,D1,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.197042,0.197042,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).",Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.258687,0.258687,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).",Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.313968,0.313968,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).",La variabilité du mouvement brownien est constante
1,D1,outcomes,4,4,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[4],gt_atom,0.278532,0.278532,False,False,,,,,,,"Ceci montre que les accroissements sont stationnaires et | de loi \(\mathcal{N}(0, t-s)\).",La variance du mouvement gaussien peut varier en fonction de l'argument
1,D1,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.336190,0.336190,False,False,,,,,,,la définition classique du mouvement brownien.,Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.258361,0.258361,False,False,,,,,,,la définition classique du mouvement brownien.,Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.628291,0.000000,False,True,unrelated,0.000000,"The model statement describes a property of Brownian motion, but does not relate to its definition.",b16ac77cb4e83e3f9a9a6df1d5b8ef6292c11bb06dac10f431b792adeb6b4ccf,False,,la définition classique du mouvement brownien.,La variabilité du mouvement brownien est constante
1,D1,outcomes,5,4,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[4],gt_atom,0.322617,0.322617,False,False,,,,,,,la définition classique du mouvement brownien.,La variance du mouvement gaussien peut varier en fonction de l'argument
1,D1,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.336190,0.336190,False,False,,,,,,,la définition classique du mouvement brownien.,Le mouvement brownien est défini par les termes $X_t = X_0 + \sqrt{\frac{d}{dt}X_0^2 + r(t)}$
1,D1,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.258361,0.258361,False,False,,,,,,,la définition classique du mouvement brownien.,Le mouvement gaussien est défini par les termes $X_t = \sqrt{d} \cos(\omega t)$
1,D1,outcomes,6,3,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[3],gt_atom,0.628291,0.000000,False,True,unrelated,0.000000,"The model statement describes a property of Brownian motion, but does not relate to its definition.",b16ac77cb4e83e3f9a9a6df1d5b8ef6292c11bb06dac10f431b792adeb6b4ccf,True,,la définition classique du mouvement brownien.,La variabilité du mouvement brownien est constante
1,D1,outcomes,6,4,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[4],gt_atom,0.322617,0.322617,False,False,,,,,,,la définition classique du mouvement brownien.,La variance du mouvement gaussien peut varier en fonction de l'argument
1,D3,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.188017,0.188017,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),$d > 0$ | $\beta t + c$
1,D3,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.137273,0.137273,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),$\omega > 0$ | $d > 0$
1,D3,arguments,1,3,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[3],gt_atom,0.168230,0.168230,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),$r(t) = \beta t + c$
1,D3,arguments,1,4,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[4],gt_atom,0.137273,0.137273,False,False,,,,,,,L'indépendance de \(X_s\) et \(X_t - X_s\),$\omega > 0$ | $d > 0$
1,D3,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.117425,0.117425,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",$d > 0$ | $\beta t + c$
1,D3,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.117425,0.117425,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",$\omega > 0$ | $d > 0$
1,D3,arguments,2,3,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[3],gt_atom,0.053308,0.053308,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",$r(t) = \beta t + c$
1,D3,arguments,2,4,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[4],gt_atom,0.117425,0.117425,False,False,,,,,,,"une combinaison linéaire d'accroissements gaussiens indépendants, elle est donc gaussienne",$\omega > 0$ | $d > 0$
1,D3,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.200740,0.200740,False,False,,,,,,,Calculation,$d > 0$ | $\beta t + c$
1,D3,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.191535,0.191535,False,False,,,,,,,Calculation,$\omega > 0$ | $d > 0$
1,D3,arguments,3,3,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[3],gt_atom,0.101049,0.101049,False,False,,,,,,,Calculation,$r(t) = \beta t + c$
1,D3,arguments,3,4,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[4],gt_atom,0.191535,0.191535,False,False,,,,,,,Calculation,$\omega > 0$ | $d > 0$
1,D3,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.298251,0.298251,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),$d > 0$ | $\beta t + c$
1,D3,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.114806,0.114806,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),$\omega > 0$ | $d > 0$
1,D3,arguments,4,3,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[3],gt_atom,0.216555,0.216555,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),$r(t) = \beta t + c$
1,D3,arguments,4,4,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[4],gt_atom,0.114806,0.114806,False,False,,,,,,,donc la loi ne dépend que de \(t-s\),$\omega > 0$ | $d > 0$
1,D3,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.217144,0.217144,False,False,,,,,,,plus l'hypothèse de continuité des trajectoires,$d > 0$ | $\beta t + c$
1,D3,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.127981,0.127981,False,False,,,,,,,plus l'hypothèse de continuité des trajectoires,$\omega > 0$ | $d > 0$
1,D3,arguments,5,3,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[3],gt_atom,0.198498,0.198498,False,False,,,,,,,plus l'hypothèse de continuité des trajectoires,$r(t) = \beta t + c$
1,D3,arguments,5,4,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[4],gt_atom,0.127981,0.127981,False,False,,,,,,,plus l'hypothèse de continuité des trajectoires,$\omega > 0$ | $d > 0$
1,D3,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.136986,0.136986,False,False,,,,,,,en prenant la version continue via le théorème de Kolmogorov,$d > 0$ | $\beta t + c$
1,D3,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.188687,0.188687,False,False,,,,,,,en prenant la version continue via le théorème de Kolmogorov,$\omega > 0$ | $d > 0$
1,D3,arguments,6,3,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[3],gt_atom,0.067267,0.067267,False,False,,,,,,,en prenant la version continue via le théorème de Kolmogorov,$r(t) = \beta t + c$
1,D3,arguments,6,4,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[4],gt_atom,0.188687,0.188687,False,False,,,,,,,en prenant la version continue via le théorème de Kolmogorov,$\omega > 0$ | $d > 0$
1,D4,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.575885,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement describes a Gaussian process, but the ground-truth statement is about a specific decomposition of \(X_t\).",9843b55670ff0abf161b06c8257b609367d5a0b2e0964ca9e79e98219c78d558,False,,"Pour \(s \leq t\), on décompose \(X_t = X_s + (X_t - X_s)\).","$X_0 = 0$ | $(X_t)_{t\in \R^+}$ est un processus gaussien centré | ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D4,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.575885,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement describes a Gaussian process, but the decomposition of \(X_t\) is not explicitly mentioned.",19dbbd7a56e39927768f1922a2b4cbda278b0d91d67583ed84e7f2d9c5d52520,False,,"Pour \(s \leq t\), on décompose \(X_t = X_s + (X_t - X_s)\).","$(X_t)_{t\in \R^+}$ est un processus gaussien centré | ${\rm Cov}(X_s,X_t)=\inf(s,t)$"
1,D4,required_precondition_coverage,1,3,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[3],gt_precondition,0.567938,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement describes a property of Brownian motion, but does not explicitly state the decomposition of \(X_t\) as required by the ground-truth statement.",903f7847cf359cd61ee4c889365b16c4a68995577c7b826543369ed5728a56b0,False,,"Pour \(s \leq t\), on décompose \(X_t = X_s + (X_t - X_s)\).",$(X_t)_{t\in \R^+}$ est un processus brownien
