subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.355771,0.500000,False,True,related_but_not_equivalent,0.800000,"The model statement is a property of martingales, but it doesn't address the optional stopping theorem.",0a18ac1ce2360a5f36ba3c02bcf154eaf9e3df0b80df4783e8485d8b6bac0235,False,,Apply Doob's optional stopping theorem to $(W_t)_{t\geq 0}$ at $\tau$,Martingale property
1,D3,outcomes,1,1,subquestions[1].atoms/list[1],subquestions[1].atoms/list[1],gt_atom,0.883019,0.883019,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",E[W_τ] = 0
1,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[1].atoms/list[1],global_assumption,0.965468,0.965468,True,False,,,,,,,$W_t$ is a Brownian Motion.,τ is a bounded stopping time | W_t is a Brownian motion
1,D1,required_precondition_coverage,2,1,subquestions[1].assumptions[1],subquestions[1].atoms/list[1],local_assumption,0.933150,0.933150,True,False,,,,,,,$\tau$ is a bounded stopping time,τ is a bounded stopping time | W_t is a Brownian motion
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.735898,0.735898,True,False,,,,,,,$(W_t)_{t\geq 0}$ is a martingale.,τ is a bounded stopping time | W_t is a Brownian motion
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.927608,0.927608,True,False,,,,,,,$\tau$ is a bounded stopping time.,τ is a bounded stopping time | W_t is a Brownian motion
2,D2,arguments,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.326436,0.000000,False,True,unrelated,0.000000,Doob's optional stopping theorem is unrelated to Itô's formula.,3429a557926965ab48e28439ba54c898d7467f603d130f9ece7653f48dbbbb1b,False,,Apply Doob's optional stopping theorem to $(W_t^2-t)_{t\geq 0}$ at $\tau$,Itô's formula
2,D3,outcomes,1,1,subquestions[2].atoms/list[1],subquestions[2].atoms/list[1],gt_atom,0.902104,0.902104,True,False,,,,,,,\[ \mathbb{E}[W_\tau^2] = \mathbb{E}[\tau]. \],Compute $ \E(W_\tau^2) $
2,D1,required_precondition_coverage,1,1,assumption_global[1],subquestions[2].atoms/list[1],global_assumption,0.869730,0.869730,True,False,,,,,,,$W_t$ is a Brownian Motion.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Assume $ \tau $ is almost surely finite.
2,D1,required_precondition_coverage,2,1,subquestions[2].assumptions[1],subquestions[2].atoms/list[1],local_assumption,0.974314,0.974314,True,False,,,,,,,$\tau$ is a bounded stopping time,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Assume $ \tau $ is almost surely finite.
2,D1,required_precondition_coverage,3,1,subquestions[1].atoms/list[1].outcomes[1],subquestions[2].atoms/list[1],previous_outcome,0.547034,0.547034,True,False,,,,,,,"\[ \mathbb{E}[W_\tau] = 0, \]",Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Assume $ \tau $ is almost surely finite.
2,D1,required_precondition_coverage,4,1,subquestions[2].atoms/list[1].preconditions[1],subquestions[2].atoms/list[1],gt_precondition,0.642140,0.642140,True,False,,,,,,,$(W_t^2-t)_{t\geq 0}$ is a martingale.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Assume $ \tau $ is almost surely finite.
2,D1,required_precondition_coverage,5,1,subquestions[2].atoms/list[1].preconditions[2],subquestions[2].atoms/list[1],gt_precondition,0.961507,0.961507,True,False,,,,,,,$\tau$ is a bounded stopping time.,Let $ \tau $ be a bounded stopping time. | Let $ W_t $ be a standard Brownian motion. | Assume $ \tau $ is almost surely finite.
