subquestion_index,dimension,field,gt_atom_index,model_atom_index,gt_atom_path,model_atom_path,gt_source,embedding_score,score,matched,judge_used,judge_label,judge_confidence,judge_reason,judge_cache_key,judge_cache_hit,judge_error,gt_text,model_text
1,D2,arguments,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.703505,0.703505,True,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,X_t 是零均值高斯过程
1,D2,arguments,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.703505,0.703505,True,False,,,,,,,由 \(X_s\) 与增量 \(X_t - X_s\) 的独立性，,X_t 是零均值高斯过程
1,D2,arguments,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.637476,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a specific case of the ground-truth statement, but does not fully cover its content.",77346ed98f3a0d4e9ea5356cb2f96e20a64b5d9ef1b248798656d2d116402039,False,,独立高斯增量的线性组合，故其服从高斯分布。,X_t 是零均值高斯过程
1,D2,arguments,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.637476,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement is a specific case of the ground-truth statement, but does not fully cover its content.",77346ed98f3a0d4e9ea5356cb2f96e20a64b5d9ef1b248798656d2d116402039,True,,独立高斯增量的线性组合，故其服从高斯分布。,X_t 是零均值高斯过程
1,D2,arguments,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.149477,0.149477,False,False,,,,,,,Calculation,X_t 是零均值高斯过程
1,D2,arguments,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.149477,0.149477,False,False,,,,,,,Calculation,X_t 是零均值高斯过程
1,D2,arguments,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.612063,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a property of the process, but does not directly address the dependence of the increment distribution on time difference.",50ef078ecb6510c0b25ed29ebee22b97d44744394e7e7fb7730f83a2a7926295,False,,因此增量的分布仅依赖于时间差 \(t-s\)。,X_t 是零均值高斯过程
1,D2,arguments,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.612063,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes a property of the process, but does not directly address the dependence of the increment distribution on time difference.",50ef078ecb6510c0b25ed29ebee22b97d44744394e7e7fb7730f83a2a7926295,True,,因此增量的分布仅依赖于时间差 \(t-s\)。,X_t 是零均值高斯过程
1,D2,arguments,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.350693,0.350693,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,X_t 是零均值高斯过程
1,D2,arguments,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.350693,0.350693,False,False,,,,,,,加上轨道连续性（continuity of paths）假设，,X_t 是零均值高斯过程
1,D2,arguments,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.291196,0.291196,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,X_t 是零均值高斯过程
1,D2,arguments,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.291196,0.291196,False,False,,,,,,,通过 Kolmogorov 修正定理（Kolmogorov's continuity theorem）取其连续版本，,X_t 是零均值高斯过程
1,D3,outcomes,1,1,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[1],gt_atom,0.943406,0.943406,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,1,2,subquestions[1].atoms/set[1]/list[1],subquestions[1].atoms/list[2],gt_atom,0.943406,0.943406,True,False,,,,,,,"\(\mathrm{Cov}(X_s, X_t) = \min(s,t)\)。","Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,2,1,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[1],gt_atom,0.022236,0.022236,False,False,,,,,,,因此该过程为零均值高斯过程。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,2,2,subquestions[1].atoms/set[1]/list[2],subquestions[1].atoms/list[2],gt_atom,0.022236,0.022236,False,False,,,,,,,因此该过程为零均值高斯过程。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,3,1,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[1],gt_atom,0.228683,0.228683,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,3,2,subquestions[1].atoms/set[2]/list[1],subquestions[1].atoms/list[2],gt_atom,0.228683,0.228683,False,False,,,,,,,不相交时间段的增量是不不相关的（uncorrelated），进而由于是高斯向量（Gaussian vector）可知其相互独立。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,4,1,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[1],gt_atom,0.216261,0.216261,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。","Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,4,2,subquestions[1].atoms/set[2]/list[2],subquestions[1].atoms/list[2],gt_atom,0.216261,0.216261,False,False,,,,,,,"这表明增量具有平稳性（stationary）， | 且服从分布 \(\mathcal{N}(0, t-s)\)。","Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,5,1,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[1],gt_atom,0.082866,0.082866,False,False,,,,,,,布朗运动的经典定义。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,5,2,subquestions[1].atoms/set[2]/list[3]/set[1],subquestions[1].atoms/list[2],gt_atom,0.082866,0.082866,False,False,,,,,,,布朗运动的经典定义。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,6,1,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[1],gt_atom,0.082866,0.082866,False,False,,,,,,,布朗运动的经典定义。,"Cov(X_s, X_t) = min(s, t)"
1,D3,outcomes,6,2,subquestions[1].atoms/set[2]/list[3]/set[2],subquestions[1].atoms/list[2],gt_atom,0.082866,0.082866,False,False,,,,,,,布朗运动的经典定义。,"Cov(X_s, X_t) = min(s, t)"
1,D1,required_precondition_coverage,1,1,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.344387,0.344387,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,X_0 = 0
1,D1,required_precondition_coverage,1,2,subquestions[1].atoms/set[1]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.344387,0.344387,False,False,,,,,,,对于 \(s \leq t\)，将 $X_t$ 分解为 \(X_t = X_s + (X_t - X_s)\)。,X_0 = 0
1,D1,required_precondition_coverage,2,1,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.175043,0.175043,False,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,X_0 = 0
1,D1,required_precondition_coverage,2,2,subquestions[1].atoms/set[1]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.175043,0.175043,False,False,,,,,,,标准布朗运动具有高斯增量（Gaussian increments）且,X_0 = 0
1,D1,required_precondition_coverage,3,1,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.900591,0.900591,True,False,,,,,,,\(X_0 = 0\)，,X_0 = 0
1,D1,required_precondition_coverage,3,2,subquestions[1].atoms/set[1]/list[2].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.900591,0.900591,True,False,,,,,,,\(X_0 = 0\)，,X_0 = 0
1,D1,required_precondition_coverage,4,1,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.301702,0.301702,False,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，",X_0 = 0
1,D1,required_precondition_coverage,4,2,subquestions[1].atoms/set[2]/list[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.301702,0.301702,False,False,,,,,,,"利用性质 ${\rm Cov}(X_s,X_t)=\inf(s,t)$，",X_0 = 0
1,D1,required_precondition_coverage,5,1,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.242055,0.242055,False,False,,,,,,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：",X_0 = 0
1,D1,required_precondition_coverage,5,2,subquestions[1].atoms/set[2]/list[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.242055,0.242055,False,False,,,,,,,"对于 \(s < t \leq u < v\)，计算协方差 $\text{Cov}(X_t - X_s, X_v - X_u)$：",X_0 = 0
1,D1,required_precondition_coverage,6,1,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.396363,0.396363,False,False,,,,,,,计算增量 $X_t - X_s$ 的方差：,X_0 = 0
1,D1,required_precondition_coverage,6,2,subquestions[1].atoms/set[2]/list[2].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.396363,0.396363,False,False,,,,,,,计算增量 $X_t - X_s$ 的方差：,X_0 = 0
1,D1,required_precondition_coverage,7,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[1],gt_precondition,0.081384,0.081384,False,False,,,,,,,不相交增量相互独立，且,X_0 = 0
1,D1,required_precondition_coverage,7,2,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[1],subquestions[1].atoms/list[2],gt_precondition,0.081384,0.081384,False,False,,,,,,,不相交增量相互独立，且,X_0 = 0
1,D1,required_precondition_coverage,8,1,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[1],gt_precondition,0.239954,0.239954,False,False,,,,,,,"增量服从方差为 $t-s$ 的零均值高斯分布，即 \(\mathcal{N}(0, t-s)\)，",X_0 = 0
1,D1,required_precondition_coverage,8,2,subquestions[1].atoms/set[2]/list[3]/set[1].preconditions[2],subquestions[1].atoms/list[2],gt_precondition,0.239954,0.239954,False,False,,,,,,,"增量服从方差为 $t-s$ 的零均值高斯分布，即 \(\mathcal{N}(0, t-s)\)，",X_0 = 0
2,D2,arguments,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.163675,0.163675,False,False,,,,,,,根据布朗运动的强大数定律（Law of large numbers）：,X_t = t W_{1/t} 对于 t > 0
2,D2,arguments,1,2,subquestions[2].atoms/set[1],subquestions[2].atoms/list[2],gt_atom,0.217991,0.217991,False,False,,,,,,,根据布朗运动的强大数定律（Law of large numbers）：,X_t 的增量 X_t - X_s = t W_{1/t} - s W_{1/s}
2,D2,arguments,1,3,subquestions[2].atoms/set[1],subquestions[2].atoms/list[3],gt_atom,0.316620,0.316620,False,False,,,,,,,根据布朗运动的强大数定律（Law of large numbers）：,X_t 的方差为 Var(X_t) = t^2 \cdot \frac{1}{t} = t
2,D2,arguments,1,4,subquestions[2].atoms/set[1],subquestions[2].atoms/list[4],gt_atom,0.415682,0.415682,False,False,,,,,,,根据布朗运动的强大数定律（Law of large numbers）：,X_t 的增量为高斯变量，均值为零
2,D2,arguments,2,1,subquestions[2].atoms/set[2],subquestions[2].atoms/list[1],gt_atom,0.545811,1.000000,True,True,equivalent,1.000000,Same mathematical expression with equivalent notation.,54c31f5c5f752eac9fdfe9e36e127c7d0e5784593bd587132f7c98296f86eeb9,False,,均为 \(W_{1/t_i}\) 的线性组合，,X_t = t W_{1/t} 对于 t > 0
2,D2,arguments,2,2,subquestions[2].atoms/set[2],subquestions[2].atoms/list[2],gt_atom,0.708681,0.708681,True,False,,,,,,,均为 \(W_{1/t_i}\) 的线性组合，,X_t 的增量 X_t - X_s = t W_{1/t} - s W_{1/s}
2,D2,arguments,2,3,subquestions[2].atoms/set[2],subquestions[2].atoms/list[3],gt_atom,0.482315,0.500000,False,True,related_but_not_equivalent,0.800000,Model statement simplifies the ground-truth statement by omitting the linear combination aspect.,aceca0eda47778f8f0c9a37cde395a02f726eb90b2a08cd86423c53a7d785511,False,,均为 \(W_{1/t_i}\) 的线性组合，,X_t 的方差为 Var(X_t) = t^2 \cdot \frac{1}{t} = t
2,D2,arguments,2,4,subquestions[2].atoms/set[2],subquestions[2].atoms/list[4],gt_atom,0.538529,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement describes the increment of X_t, while ground-truth statement describes the form of the process.",b5ada8e5adae77c5d424f05d25b16ef31923da68238d4ba9b1291dc5c4def3bd,False,,均为 \(W_{1/t_i}\) 的线性组合，,X_t 的增量为高斯变量，均值为零
2,D2,arguments,3,1,subquestions[2].atoms/set[3],subquestions[2].atoms/list[1],gt_atom,0.061198,0.061198,False,False,,,,,,,Calculation,X_t = t W_{1/t} 对于 t > 0
2,D2,arguments,3,2,subquestions[2].atoms/set[3],subquestions[2].atoms/list[2],gt_atom,0.135692,0.135692,False,False,,,,,,,Calculation,X_t 的增量 X_t - X_s = t W_{1/t} - s W_{1/s}
2,D2,arguments,3,3,subquestions[2].atoms/set[3],subquestions[2].atoms/list[3],gt_atom,0.095770,0.095770,False,False,,,,,,,Calculation,X_t 的方差为 Var(X_t) = t^2 \cdot \frac{1}{t} = t
2,D2,arguments,3,4,subquestions[2].atoms/set[3],subquestions[2].atoms/list[4],gt_atom,0.112786,0.112786,False,False,,,,,,,Calculation,X_t 的增量为高斯变量，均值为零
2,D2,arguments,4,1,subquestions[2].atoms/set[4],subquestions[2].atoms/list[1],gt_atom,0.224853,0.224853,False,False,,,,,,,由布朗运动的等价判定性质（part a 结论）,X_t = t W_{1/t} 对于 t > 0
2,D2,arguments,4,2,subquestions[2].atoms/set[4],subquestions[2].atoms/list[2],gt_atom,0.382000,0.382000,False,False,,,,,,,由布朗运动的等价判定性质（part a 结论）,X_t 的增量 X_t - X_s = t W_{1/t} - s W_{1/s}
2,D2,arguments,4,3,subquestions[2].atoms/set[4],subquestions[2].atoms/list[3],gt_atom,0.355078,0.355078,False,False,,,,,,,由布朗运动的等价判定性质（part a 结论）,X_t 的方差为 Var(X_t) = t^2 \cdot \frac{1}{t} = t
2,D2,arguments,4,4,subquestions[2].atoms/set[4],subquestions[2].atoms/list[4],gt_atom,0.558548,0.500000,False,True,related_but_not_equivalent,0.800000,"Model statement focuses on the increment of X_t, while ground-truth statement discusses the equivalent property of Brownian motion.",09ce660ebb0f8785d90954ebe0c0b62f069a8e3e647ca63d1ff8f2a80490e4ca,False,,由布朗运动的等价判定性质（part a 结论）,X_t 的增量为高斯变量，均值为零
2,D3,outcomes,1,1,subquestions[2].atoms/set[1],subquestions[2].atoms/list[1],gt_atom,0.100200,0.100200,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,X_t 满足布朗运动的定义
2,D3,outcomes,1,2,subquestions[2].atoms/set[1],subquestions[2].atoms/list[2],gt_atom,-0.054134,-0.054134,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,X_t 的增量为独立高斯变量
2,D3,outcomes,1,3,subquestions[2].atoms/set[1],subquestions[2].atoms/list[3],gt_atom,0.087015,0.087015,False,False,,,,,,,$\lim_{t \to 0^+} t W_{1/t} = 0$ a.s.,X_t 的方差满足布朗运动的性质
